ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,class
0.0,0.003337,0.002402,2.0,1.02,0.0,0.034082999999999995,0.0,2.03,0.006087,5.76365,0.006808,0.0,1.01,0.0,3.0,0.0,7.0,0.0,1.01,0.16836800000000002,1.01,0.0,0.0,2.0,21.0,0.0,9.0,1.0,8.0,0.001069,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,1.08,10.0,1.01,2.0,0.0,1.0,0.0,0.0,0.0,2.03,0.022432,1.01,2.0,0.0,0.001486,0.00305,7.0,5.0,0.002415,0.0,0.068437,0.003508,-1
0.0,0.002057,0.0,5.0,0.0,0.0,0.184141,0.001705,0.0,0.0,5.94951,0.0,1.01,3.05,0.0,0.0,0.0,4.0,0.001111,0.0,0.142004,0.0,0.000966,3.13,1.0,13.0,2.0,5.0,2.0,1.0,0.0,0.0,10.0,1.01,9.0,0.003187,0.0,0.003196,1.01,3.31,2.0,3.26,0.0,0.0,0.0,1.0,3.04,0.0,1.01,0.009387,13.4,6.0,0.000535,0.019677,0.003094,97.0,5.0,0.000524,3.42,0.004944,0.002633,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,-1
0.0,0.0004969999999999999,0.0,2.0,6.18,6.18,0.053988,0.0,0.0,0.0,4.65956,0.016319999999999998,1.01,1.03,74.0,0.0,0.0,0.0,0.001117,0.0,0.116139,0.0,0.002083,1.08,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.03,0.0,0.000633,0.017758000000000003,0.000678,1.06,1.03,0.0,1.26,76.0,0.0,1.0,0.0,1.02,0.0,1.06,0.008459999999999999,1.02,2.0,0.002039,0.0016120000000000002,0.0006900000000000001,12.0,0.0,0.0017690000000000004,1.28,0.0023420000000000003,0.000576,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,-1
1.0,0.0017,0.001019,7.0,0.0,5.05,0.225884,0.00115,1.01,0.001935,14.9282,0.0,1.01,3.05,0.0,0.0,1.0,29.0,0.000672,4.04,0.35632600000000003,0.0,0.000814,8.18,18.0,122.0,3.0,7.0,2.0,2.0,0.0,1.01,21.0,1.03,52.0,0.006468000000000001,0.002458,0.006698000000000001,5.12,3.2,19.0,5.3,8.0,0.0,4.0,3.0,2.03,0.00028700000000000004,5.12,0.022974,2.08,9.0,0.004520000000000001,0.002251,0.004848,24.0,5.0,0.004816,8.46,0.004969,0.00225,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,-1
10.0,0.004232,0.001784,11.0,0.0,0.0,0.661068,0.002743,2.03,0.0,19.4467,0.0,6.07,7.11,0.0,0.0,0.0,98.0,0.002962,0.0,0.507472,0.0,0.003134,14.08,13.0,248.0,3.0,19.0,1.0,4.0,0.0,0.0,171.0,2.03,171.0,0.017277,0.0,0.018578,6.14,8.44,16.0,14.78,1.0,0.0,1.0,0.0,5.06,0.0,7.14,0.048074,6.07,13.0,0.007979,0.004318,0.017204,15.0,9.0,0.009065,17.64,0.088626,0.004729,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,-1
4.0,0.0,0.0,1.0,0.0,0.0,0.009152,0.0,0.0,0.0,2.75305,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.091169,0.0,0.0,0.0,3.0,141.0,0.0,11.0,1.0,4.0,0.0,0.0,55.0,0.0,66.0,0.0,0.0,0.0,1.01,0.0,7.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,1.01,0.015512,1.01,1.0,0.000801,0.001486,0.0,7.0,7.0,0.0007830000000000001,0.0,0.054874,0.0,-1
0.0,0.0,0.001019,6.0,1.02,0.0,0.07120399999999999,0.0,1.01,0.000563,6.36008,0.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,1.02,0.183285,0.0,0.0,3.21,10.0,107.0,0.0,9.0,1.0,1.0,0.0,0.0,36.0,0.0,78.0,0.009389,0.0,0.009207,2.03,0.0,10.0,4.36,2.0,0.0,2.0,1.0,0.0,0.0,2.03,0.022703,0.0,6.0,0.008717,0.0,0.009818,0.0,9.0,0.008395,3.49,0.057702,0.0,-1
0.0,0.001949,0.0009,3.0,0.0,1.01,0.020035,0.000938,1.01,0.000675,5.41761,0.0,0.0,3.04,0.0,0.0,0.0,18.0,0.0,1.01,0.13137100000000002,0.0,0.0,4.13,5.0,33.0,0.0,9.0,3.0,5.0,0.0,0.0,36.0,0.0,18.0,0.00371,0.000615,0.0022140000000000003,1.04,3.26,10.0,3.12,2.0,0.0,2.0,0.0,2.02,0.0,1.05,0.009491,3.11,3.0,0.000925,0.002881,0.0021850000000000003,45.0,7.0,0.000932,3.19,0.010242,0.0022370000000000003,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,-1
2.0,0.0,0.0,1.0,0.0,0.0,0.02046,0.0,0.0,0.0,1.80545,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.044952,0.0,0.0,0.0,4.0,56.0,0.0,11.0,1.0,0.0,0.0,0.0,55.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.003254,1.01,1.0,0.0,0.001486,0.0,7.0,9.0,0.0,0.0,0.0007769999999999999,0.0,-1
1.0,0.0,0.0,3.0,0.0,0.0,0.044671,0.0,0.0,0.0,5.63536,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.133442,0.0,0.0,0.0,2.0,54.0,0.0,8.0,1.0,0.0,0.0,0.0,28.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.008342,6.08,3.0,0.0,0.007778,0.0,26.0,7.0,0.0,0.0,0.001137,0.0,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,-1
3.0,0.0,0.0,3.0,0.0,0.0,0.028686,0.0,0.0,0.0,1.53632,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.12341,0.0,0.0,0.0,15.0,130.0,0.0,9.0,1.0,3.0,0.0,0.0,36.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.041271,0.0,3.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.108877,0.0,1
6.0,0.006652,0.0,9.0,0.0,3.04,1.07722,0.002869,0.0,0.002914,20.7622,0.0,3.04,7.1,0.0,0.0,0.0,288.0,0.003978,3.04,0.538207,0.0,0.0,11.55,45.0,1434.0,0.0,66.0,3.0,1.0,0.0,1.02,2145.0,0.0,677.0,0.011089,0.003625,0.014923,9.14,13.05,46.0,14.92,9.0,0.0,9.0,0.0,5.06,0.0,9.14,0.046708,2.09,13.0,0.006998999999999999,0.001486,0.01457,16.0,54.0,0.008523000000000001,17.23,0.06027,0.007568000000000002,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,-1
4.0,0.003594,0.004039,3.0,0.0,3.03,0.12793,0.00026000000000000003,3.03,0.004584,5.67634,0.0,0.0,2.04,0.0,0.0,0.0,38.0,0.0,3.03,0.167018,0.0,0.0,4.07,10.0,144.0,0.0,23.0,1.0,18.0,0.0,0.0,253.0,0.0,77.0,0.006766,0.006529999999999999,0.006037,3.03,2.82,28.0,4.09,16.0,0.0,11.0,0.0,2.04,0.0,6.06,0.021438,0.0,4.0,0.008322,0.0,0.006827,7.0,19.0,0.015399,4.2,0.057939,0.003448,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,1.0,0.0,1.01,0.035403,0.0,0.0,0.0,4.64163,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.01,0.117441,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010063,3.04,1.0,0.0,0.003319,0.0,19.0,0.0,0.0,0.0,0.018433,0.0,-1
0.0,0.00132,0.011698,4.0,0.0,0.0,0.122068,0.001351,3.04,0.0,9.84115,0.0,0.0,2.04,0.0,3.0,0.0,15.0,0.0,0.0,0.250087,2.02,0.0,3.12,2.0,39.0,0.0,12.0,1.0,5.0,0.0,0.0,66.0,0.0,18.0,0.001866,0.0,0.004899000000000001,1.01,2.38,6.0,3.07,1.0,0.0,0.0,0.0,2.04,0.0,3.04,0.020443,1.01,4.0,0.00067,0.001486,0.002184,10.0,12.0,0.009328,4.36,0.023286,0.001498,1
0.0,0.0,0.0,3.0,0.0,0.0,0.116713,0.0,0.0,0.006087,5.71254,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,1.05,0.171902,0.0,0.0,1.04,8.0,133.0,0.0,4.0,1.0,1.0,0.0,0.0,6.0,0.0,48.0,0.000794,0.0,0.008604,1.01,0.0,9.0,3.13,5.0,0.0,5.0,2.0,0.0,0.0,1.01,0.02535,1.01,3.0,0.002039,0.001486,0.014779,7.0,0.0,0.0017690000000000004,2.24,0.083254,0.0,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,-1
3.0,0.0,0.0,4.0,0.0,1.01,0.6801159999999999,0.0,0.0,0.000628,9.006,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.01,0.214537,0.0,0.0,0.0,7.0,90.0,0.0,10.0,1.0,1.0,0.0,0.0,45.0,0.0,33.0,0.0,0.000627,0.001163,0.0,0.0,7.0,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,0.013972,2.05,4.0,0.0,0.002379,0.0,33.0,5.0,0.0,2.09,0.005361,0.0,1
3.0,0.0,0.0,2.0,0.0,1.01,0.159366,0.0,0.0,0.000628,5.38882,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.01,0.12658,0.0,0.0,0.0,7.0,76.0,0.0,10.0,1.0,1.0,0.0,0.0,45.0,0.0,29.0,0.0,0.000627,0.000831,0.0,0.0,7.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.007778,2.05,2.0,0.0,0.002379,0.0,33.0,5.0,0.0,1.08,0.001539,0.0,1
29.0,0.009306,0.0009,19.0,0.0,6.13,0.479871,0.001321,1.02,0.003851,21.5348,0.0,7.34,8.39,0.0,0.0,2.0,146.0,0.00911,6.11,0.5666680000000001,0.0,0.0,16.73,22.0,596.0,0.0,36.0,1.0,3.0,0.0,0.0,630.0,0.0,331.0,0.023444,0.003925,0.024689,6.13,18.08,23.0,19.3,16.0,1.0,9.0,3.0,2.02,0.0,6.13,0.054206,1.01,20.0,0.011889,0.001486,0.017347,7.0,3.0,0.012001,22.87,0.100592,0.010092,1
1.0,0.002437,0.007603,5.0,0.0,0.0,0.120935,0.003881,3.06,0.0,9.83384,0.0,1.01,2.02,0.0,5.0,0.0,17.0,0.0,0.0,0.262567,1.01,0.0,2.04,8.0,55.0,0.0,14.0,1.0,21.0,0.000718,0.0,91.0,0.0,39.0,0.0048270000000000006,0.0,0.004615,3.03,2.25,28.0,2.06,4.0,0.0,1.0,1.0,2.02,0.0,5.08,0.023937,0.0,5.0,0.006519,0.0,0.005419,7.0,11.0,0.009561,2.07,0.027077,0.003881,1
2.0,0.001815,0.001019,5.0,0.0,0.0,0.041067,0.0,1.01,0.0,3.20728,0.0,0.0,1.02,3.0,0.0,0.0,46.0,0.0,0.0,0.087805,0.0,0.0,1.02,4.0,160.0,0.0,19.0,1.0,5.0,0.0,0.0,171.0,0.0,66.0,0.001493,0.0,0.002142,2.02,1.35,9.0,2.09,16.0,0.0,13.0,0.0,1.02,0.0,3.03,0.0091,2.03,6.0,0.002934,0.001486,0.00221,18.0,17.0,0.003634000000000001,2.07,0.018943,0.001773,-1
5.0,0.009124,0.001019,13.0,1.03,3.13,0.5408029999999999,0.0,1.01,0.006704000000000001,14.3621,0.000221,2.02,4.05,3.0,0.0,0.0,91.0,0.007731999999999998,2.02,0.390746,0.0,0.000814,6.35,22.0,424.0,1.0,29.0,1.0,2.0,0.0,0.0,406.0,1.01,205.0,0.014238,0.007891,0.01229,4.04,5.3,24.0,7.76,25.0,0.0,3.0,0.0,0.0,0.0,5.05,0.043717,1.05,18.0,0.004045,0.001486,0.015033,13.0,7.0,0.004792,8.36,0.104634,0.009689,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,0.0,8.0,1.0,4.0,0.0,0.0,28.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,-1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,-1
